filters,dropout,learning_rate,kernel_size,val_accuracy,fit_time,epochs_trained
16,0.3,0.001,5,0.7517187595367432,84.12478995323181,25
16,0.3,0.001,3,0.7496874928474426,65.94714093208313,23
32,0.3,0.001,3,0.7353125214576721,61.387807846069336,18
32,0.3,0.001,5,0.7284374833106995,69.10577893257141,14
32,0.0,0.0001,3,0.7120312452316284,92.84030103683472,25
32,0.3,0.0001,3,0.7053124904632568,91.37238502502441,25
32,0.0,0.001,3,0.7034375071525574,37.995238065719604,11
32,0.3,0.0001,5,0.7020312547683716,113.86069369316101,25
32,0.0,0.001,5,0.6746875047683716,39.47672915458679,9
16,0.0,0.0001,3,0.672656238079071,65.41805601119995,25
16,0.0,0.0001,5,0.6635937690734863,65.93063807487488,25
16,0.3,0.0001,3,0.659375011920929,66.7044427394867,25
32,0.0,0.0001,5,0.6481249928474426,91.39329600334167,21
16,0.3,0.0001,5,0.6282812356948853,74.41379404067993,21
16,0.0,0.001,5,0.6226562261581421,24.738910913467407,8
16,0.0,0.001,3,0.5885937213897705,22.806010961532593,8
