units,dropout,learning_rate,val_accuracy,fit_time,epochs_trained
256,0.0,0.001,0.5249999761581421,11.514136791229248,24
64,0.0,0.001,0.5159375071525574,4.5967559814453125,19
256,0.0,0.0001,0.5112500190734863,11.49107575416565,25
128,0.0,0.0001,0.49562498927116394,7.689326047897339,25
256,0.3,0.0001,0.49015626311302185,12.446367025375366,25
64,0.0,0.0001,0.4803124964237213,5.567898988723755,25
128,0.0,0.001,0.46937501430511475,2.890416145324707,8
256,0.5,0.0001,0.4689062535762787,12.2450590133667,25
64,0.3,0.0001,0.46671876311302185,5.756266117095947,25
128,0.3,0.0001,0.4609375,8.008634328842163,25
256,0.3,0.001,0.4007812440395355,4.882415056228638,9
128,0.5,0.0001,0.37671875953674316,8.001618146896362,25
64,0.5,0.0001,0.17390625178813934,2.072106122970581,7
128,0.3,0.001,0.14671875536441803,1.8347878456115723,4
128,0.5,0.001,0.14671875536441803,1.7752583026885986,4
64,0.5,0.001,0.14671875536441803,1.4266159534454346,4
64,0.3,0.001,0.14671875536441803,1.4095499515533447,4
256,0.5,0.001,0.14671875536441803,2.4016571044921875,4
